image_id,background,reason
N1556711704_1,sky,faint ring arcs against dark starry sky
N1560311549_1,sky,striated ring plane above with dark sky below
N1560311811_1,sky,horizontal ring bands over dark background no planet
N1560311927_1,sky,close ring bands fill the whole frame
N1560313734_1,sky,smooth ring expanse with narrow bright ringlet bands and no planet visible
N1560313850_1,sky,broad smooth ring bands with a thin bright ringlet and no planet visible
N1560314913_1,sky,close-up ring bands fill the frame
N1571965603_1,sky,bright smooth ring arcs fill the frame with a small dark gap at bottom
N1573240997_1,mixed,curved ring bands with smooth planet disk behind right third
N1573263994_1,mixed,dark rings and sky on the left with bright planet disk filling the right side
N1573275711_1,mixed,dark ring bands with bright Saturn disk showing through on the right side
N1573281856_1,planet,dark rings silhouetted against smooth bright planet disk
N1573288043_1,mixed,dark ring band across center with bright planet disk visible on both sides
N1574016951_1,mixed,ring arcs fill most of the frame with planet cloud bands showing through at upper right and bottom
N1574017041_1,sky,nested ring arcs fill the entire frame
N1575250375_2,sky,ring arcs fill the frame with data dropout lines
N1575252055_1,sky,dark and bright ringlet arcs fill the frame
N1575255415_1,sky,dense ringlet arcs fill the frame
N1575257169_1,sky,curved ring bands fill the frame
N1575257935_1,sky,pale smooth ring arcs fill the frame
N1575404246_2,sky,smooth ring sheet and arcs fill the frame
N1575405146_1,sky,dim gray ring arcs fill the frame
N1575406497_1,sky,dark ring arcs fill the frame
N1575406946_1,sky,dark ring arcs fill the entire frame
N1575420477_1,sky,lit ring plane fills frame with dark sky wedge at right edge
N1575421918_1,sky,thin F ring strand on dark sky with bright ring edge only at corner
N1585899014_1,sky,dim ring striations fill entire frame no planet
N1585899036_1,sky,ring bands fill the entire frame
N1585904807_1,sky,ring bands fill the entire frame
N1585904818_1,sky,ring bands fill the entire frame
N1586711062_1,sky,ring bands fill the whole frame
N1586711606_1,sky,concentric ring bands fill the entire frame
N1588248301_1,sky,ring arcs and gaps fill the entire frame
N1589181166_1,sky,diagonal ring striations fill the entire frame
N1591693813_1,sky,near-vertical ring bands fill the frame
N1591696423_1,sky,bright and dark ring bands fill the entire frame
N1592965575_1,sky,lit ring wedge against dark sky on the right half
N1595342355_1,sky,ring material fills frame with only a dark corner
N1595507962_1,sky,overexposed ring band at left against dark sky with small moon
N1595508005_1,sky,A ring edge on the left against dark sky with a small moon
N1595944266_1,sky,ring material fills frame with dark gap band across it
N1601522656_1,sky,faint narrow rings against dark sky
N1610300874_1,sky,curved ring bands fill the frame
N1610303368_1,sky,dim ring arcs fill frame with brighter arcs at bottom
N1610502912_1,sky,ring bands fill the entire frame
N1614222851_1,sky,F ring strand on dark sky with faint dark material at top corner
N1614223071_1,sky,F ring strand on dark sky with faint dark material at top corner
N1614682798_1,sky,ring arcs fill the entire frame
N1614682886_1,sky,ring arcs fill the entire frame
N1617920398_1,sky,rings fill the frame with a moon shadow spike and no planet
N1622022571_1,sky,thin bright F ring arc against dark sky
N1632166779_1,sky,dark horizontal ring bands fill the entire frame
N1632166839_1,sky,dark horizontal ring bands fill the entire frame
N1632167709_1,planet,ring bands silhouetted against a bright planet background over most of the frame
N1632167769_1,sky,bright ring bands fill frame above dark sky strip at bottom
N1638880417_1,sky,bright near-plane ring band fills frame against dark sky
N1641079966_1,sky,ring ansa in upper right against dark sky with small moon
N1641079999_1,sky,ring ansa in upper right against dark sky with small moon
N1641853869_1,sky,ring bands fill the whole frame
N1641853925_1,sky,curved ring bands fill the entire frame
N1646767707_1,sky,nearly edge-on bright ring ansa against dark sky
N1662205952_1,sky,ring system arcs fill the entire frame
N1710534480_1,sky,edge-on bright ring ansa against dark sky with small moon
N1723616238_1,sky,bright ring quadrant against dark sky
N1723616617_1,sky,ring ansa with fine ringlets in corner against dark sky
N1724143912_1,planet,thin ringlets silhouetted against bright disk with dark corner minor
N1730572389_1,sky,thin ring line at top of dark starless frame with moon dot
N1737360891_1,sky,lit ring bands fill frame with narrow dark strip at top
N1737360924_1,sky,lit ring bands fill frame with narrow dark strip at top
N1737366186_1,sky,concentric ringlets fill entire frame
N1737366219_1,sky,concentric ringlets fill entire frame
N1743621426_1,sky,faint ring arcs against star-filled dark sky
N1743621946_1,sky,faint ring arcs against star-filled dark sky
N1744591427_1,planet,uniform bright disk background with faint ringlets silhouetted
N1744591460_1,planet,uniform bright disk background with faint ringlets silhouetted
N1744591516_1,planet,uniform bright disk background with faint ringlets silhouetted
N1747231097_1,sky,rings on the right against dark sky with two moons and no planet
N1748914497_1,sky,lit ring bands fill the entire frame
N1748914553_1,sky,broad ring bands fill entire frame
N1771437765_1,sky,ring bands lower left against dark sky
N1771437798_1,sky,ring swath at bottom against dark sky above
N1772993573_1,sky,ring bands fill frame with small dark sky corner
N1783010075_1,mixed,planet disk fills upper half with rings crossing lower half
N1783010120_1,mixed,planet disk fills upper half with rings crossing lower half
N1783010165_1,mixed,planet disk fills upper half with rings crossing lower half
N1789853176_1,sky,dense ring bands fill frame with small dark corner
N1799411936_1,sky,diffuse glowing ring material with faint arcs fills frame
N1799412222_1,sky,diffuse glowing ring material with faint arcs fills frame
N1799413116_1,sky,diffuse ring arcs fill frame with dark corner minor
N1799413354_1,sky,diffuse ring arcs fill frame with dark corner minor
N1799415398_1,sky,bright ring arcs fill frame with dark gap and sky at edge
N1799415572_1,sky,bright ring arcs fill frame with dark gap and sky at edge
N1799421103_1,sky,bright diffuse rings fill frame with dark region minor
N1799421277_1,sky,bright diffuse rings fill frame with dark region minor
N1804918917_1,sky,ring edge right half against starry dark sky
N1805031585_3,sky,ring material fills upper frame against black lower region
N1832859147_1,sky,ring arcs fill entire frame with no planet visible
N1832859518_1,sky,ring arcs fill entire frame with no planet visible
N1832859535_1,sky,ring arcs fill entire frame with no planet visible
N1832859567_1,sky,ring arcs fill entire frame with no planet visible
N1836244183_1,sky,ring section upper right against dark sky with thin ring lower left
N1836244217_1,sky,ring section upper right against dark sky with thin ring lower left
N1836356497_1,sky,faint ring arcs fill frame over dark background
N1836779926_1,sky,rings confined to upper-left corner against dark hazy sky
N1836783741_1,planet,bright atmosphere gradient fills frame with ring silhouettes at left edge
N1836832397_1,planet,bright disk fills frame with rings silhouetted at left edge
N1845774290_1,sky,bright ring arcs around large dark sky region
N1849441813_1,sky,faint ring material fills the whole frame
N1849442366_1,planet,faint rings and shadows over smooth bright atmosphere backdrop
N1853393165_1,sky,mostly dark sky with moon and ring section in corner
N1853393232_1,sky,mostly dark sky with moon and ring section in corner
N1855878017_1,sky,Mimas and ring band against dark sky
N1860794252_1,sky,ring plane fills most of frame with dark sky at left
N1860795639_1,sky,rings fill frame with dark sky slivers at edges
N1860795731_1,sky,rings and gap fill entire frame
N1862642479_9,sky,faint ring material and shadow with no planet visible
N1862642919_1,sky,ring close-up fills entire frame
N1862643139_1,sky,ring close-up fills frame with sky corner
N1863265760_1,sky,ring close-up with gap fills entire frame
N1863265838_1,sky,ring close-up with gap fills entire frame
N1863266165_1,sky,ring close-up with gap fills entire frame
N1863267115_1,sky,ring material with dark gap fills the frame
N1863267232_1,sky,ring close-up with Keeler gap and Daphnis fills frame
N1863268347_1,sky,ring material with a dark gap fills the frame and no planet
N1863268419_1,sky,ring close-up with gap fills entire frame
N1863268513_1,sky,ring close-up with gap fills entire frame
N1863268607_1,sky,ring close-up with gap fills entire frame
N1863269385_1,sky,ring close-up with gap fills entire frame
N1863269418_1,sky,ring material fills frame with dark gap and no planet
N1867602505_1,sky,small moon in dark ring gap with ring material at frame edges
N1867602538_1,sky,moon in dark gap flanked by ring material only
N1867602571_1,sky,moon in dark gap flanked by ring material only
N1867602962_1,sky,moon in dark gap with rings at edges against darkness
N1870073578_1,sky,ring closeup fading into dark shadowed region no planet disk
N1870076479_1,sky,ringlets fill frame with dark gap band
N1870084227_1,sky,bright ring bands against dark sky on left
N1870084308_1,sky,rings fill frame with narrow dark gap
N1870084830_1,sky,ring sheet left half against dark sky right
N1870086522_1,sky,fine ring texture fills whole frame
N1870086725_1,sky,ring band closeup fills frame no planet
N1870087065_1,sky,dim ringlets against dark background
N1871440782_1,sky,faint ring arcs fill frame against darkness
N1874678736_1,sky,bright and dark ring bands fill entire frame
N1874679039_1,sky,ring bands fill entire frame
N1874681266_1,sky,faint narrow ringlets against dark field
N1875232264_1,sky,ring bands and bright ringlet fill frame
N1875232984_1,sky,bright ringlet and dark bands fill frame
N1875233609_5,sky,bright ring band fills frame no planet
N1875233884_1,sky,ring bands fill entire frame
N1878581678_1,sky,diagonal ring bands fill the frame
N1878581875_1,sky,gray ring bands fill entire frame
W1464621381_1,mixed,whole-system shot with planet a large fraction of the small lit content
W1464621454_1,mixed,whole system shot with planet a large part of lit content
W1539414102_1,sky,rings in lower-right corner rest black sky
W1542792948_1,mixed,overexposed planet regions with ring arcs across bottom
W1558907183_3,sky,thin bright ring edge at left against dark sky
W1559627040_1,sky,mostly dark sky with ring ansa at bottom corner
W1559709840_1,sky,ring ansa at top edge rest dark sky
W1561413761_1,sky,ring ansa tip at top edge against dark sky
W1572585736_1,planet,Saturn disk dominates with rings crossing it against dark sky
W1575402005_1,sky,bright ring ansa against black sky no planet
W1575652734_1,sky,overexposed ansa at left edge rest dark sky
W1575653110_1,sky,overexposed ansa at left edge rest dark sky
W1577457538_1,sky,small ring ansa at top edge of mostly dark sky
W1577907794_1,planet,disk fills most of frame with rings crossing against it
W1577908274_1,planet,disk dominates frame with rings silhouetted across lower part
W1579178787_1,sky,mostly dark sky with small ring segment at top corner and faint limb below
W1579178877_1,sky,mostly dark sky with ring segment at top corner and faint limb at bottom
W1580341501_1,sky,thin bright ring ansa against black sky
W1580341725_1,sky,narrow ring ansa tip against black sky
W1587247787_1,sky,mostly dark sky with bright ring section at bottom corner
W1619787793_1,sky,dark starfield with ring segment at bottom corner
W1625678627_1,mixed,crescent and dark planet silhouette dominate center with rings at left
W1625678712_1,mixed,bright crescent planet with ring strips against dark sky
W1625678746_1,mixed,crescent planet and vertical ring ansa strips both prominent
W1643271321_1,sky,ring material fills the entire frame
W1704623270_1,planet,planet dome dominates with rings crossing below it
W1704623342_1,planet,planet dome with rings crossing against it at bottom
W1704623375_1,planet,bright planet dome dominant with rings across the base
W1704623408_1,planet,planet disk dominant with rings crossing the lower edge
W1717379411_1,sky,broad ring bands fill frame with shadowed region
W1717379445_1,sky,ring bands fill frame against darkness
W1717379462_1,sky,ring bands span frame with dark shadow region
W1717426245_1,mixed,faint planet glow with ring shadows upper right and ring bands below
W1733512914_1,planet,rings silhouetted dark against bright planet limb glow
W1733512948_1,planet,dark ring bands crossing bright planet limb
W1733819822_1,planet,Saturn atmosphere fills most of frame with rings at right edge
W1733819854_1,planet,planet disk fills frame with ring strands at right edge
W1736225610_1,planet,planet disk dominates with rings only in bottom-right corner
W1737786689_1,mixed,bright rings left with large dim planet disk behind lower right
W1737790255_1,mixed,bright ring band left with dim planet disk filling right
W1741129397_1,mixed,ring arcs upper left with large dim planet disk below
W1741173197_1,mixed,bright ring arc upper left with large dim planet disk below
W1745007975_1,mixed,bright ring arc upper left with large dim planet disk filling lower frame
W1750045119_1,planet,frame mostly planet atmosphere with rings at corner
W1750045153_1,planet,mostly planet clouds with ring strips at lower corner
W1750523322_1,planet,dark rings crossing bright planet limb at left
W1764696612_1,mixed,bright rings left and planet disk with shadows behind right side
W1764696636_1,mixed,ring sweep with Saturn disk in the inner upper-right and planet shadow on the rings
W1764696655_1,mixed,wide ring sweep with Saturn disk filling the inner upper-right and its shadow on the rings
W1764696672_1,mixed,ring sweep with Saturn disk in the inner upper-right and planet shadow across the rings
W1766848316_1,sky,dark frame with bright ring ansa at left edge
W1783956855_1,planet,large planet disk with rings crossing in front of it
W1783956889_1,planet,planet disk dominant with rings silhouetted across it
W1802263553_1,planet,bright smooth Saturn disk fills most of the frame with translucent C ring bands against it
W1802263588_1,planet,ring strands seen against bright planet atmosphere
W1802263653_1,planet,ring bands cross bright Saturn atmosphere filling frame
W1802265821_1,planet,ring bands at top against bright planet disk filling frame
W1841028909_1,planet,ring arcs cross bright atmosphere which fills the frame
W1841032507_1,planet,ring arcs silhouetted against bright planet background
W1841032540_1,planet,ring arcs across bright atmosphere dominating frame
W1841042702_1,planet,faint ring arcs against bright planet atmosphere
W1841042719_1,planet,ring arcs over bright atmosphere with dark corner only
W1865184220_1,sky,frame mostly dark sky with bright ring ansa at right edge
W1865184237_1,sky,dark starry sky with thin ring edge at right margin
W1865184273_1,sky,dark sky dominates with ring sliver at right edge
W1865187543_1,sky,ring arc in top-right corner rest dark sky
W1870764071_1,sky,bright ring arc against dark starry background
W1870764088_1,sky,ring ansa arc on dark sky with stars
W1870764107_1,sky,ring arc against dark unlit background
W1870764124_1,sky,thin bright ring arc on dark sky
W1870773144_1,sky,dark starry frame with ring arc at bottom edge
W1870773161_1,sky,mostly dark sky and ring limb arc at bottom
W1871866084_1,planet,polar disk fills most of frame with ring band at right edge
W1871866101_1,planet,planet pole dominates with narrow ring strip on right
W1872479866_1,sky,ring arcs and shadowed ring fill the frame
W1882041721_1,planet,edge-on ring streak crossing mottled cloud background
W1882041817_1,planet,bright ring streak against textured atmosphere filling frame
W1882042390_1,planet,edge-on ring band over bright cloud field
W1882052556_1,planet,vertical ring streak against hazy cloud background
W1882052590_1,planet,ring streak crossing bright atmosphere that fills frame
W1883585911_1,mixed,planet disk on left and wide ring band filling right third
W1883585928_1,mixed,bright polar disk left with broad ring swath on right
W1883585946_1,mixed,planet clouds left and dense ring bands over right side
W1883585978_1,mixed,dark disk left with bright wide ring sheet on right
W1883611779_1,sky,diagonal ring bands with dark sky corner
